name,normalizedName,tager,legacyDefaultTag,runtimeDefaultTag,bundleIdentifier,defaultNote-ZH
,tencent-video,video,media|video|entertainment,media|video,com.tencent.tenvideo,腾讯视频客户端，适合观看影视、综艺和在线视频内容
,bitwarden,security,utilities|security,security,null,开源密码管理器，跨平台保存账号和验证码
,hammerspoon,Automation|runtime-sdk,productivity|development|utilities|system-enhancement,productivity|development|system-enhancement,null,用 Lua 自动化 Mac，键盘、窗口和脚本都能接管
,iqiyi,video,media|video|entertainment,media|video,com.iqiyi.player,爱奇艺视频客户端，适合观看影视、综艺和在线视频内容
,youku,video,media|video|entertainment,media|video,com.youku.mac,视频工具，适合播放、录制、剪辑或转换视频
,obs,video,media|video|entertainment,media|video,null,直播和录屏工具，课程、演示和游戏录制都很常用
,bilibili,video,media|video|entertainment,media|video,com.bilibili.bilibili,视频工具，适合播放、录制、剪辑或转换视频
,pearcleaner,system-maintenance,browser|utilities,utilities|system-enhancement,null,macOS 应用卸载工具，适合删除 App 并清理残留文件
,gimp,picture-photo,design|media|picture-photo,media|picture-photo,null,开源图像编辑器，修图和简单设计不必上重型套件
,ximalaya,audio,media|audio|entertainment,media|audio,com.ximalaya.ting,音频工具，适合播放、制作、编辑或管理声音内容
,google-cloud-cli,terminal-tools|devops,utilities,development,null,Google Cloud 命令行工具，适合管理云资源和部署应用
,keka,file-management,utilities,file-management|utilities,null,压缩解压工具，处理 ZIP、7z 和 RAR 很方便
,linearmouse,device-management,productivity|utilities|system-enhancement,utilities|system-enhancement,null,鼠标和触控板调校工具，滚动、加速度和按键更顺手
,sketch,ui-prototyping,productivity|development|design,design,com.bohemiancoding.sketch3,经典 Mac 界面设计工具，适合 UI 和图标设计
,dockdoor,Automation,utilities|system-enhancement,productivity|system-enhancement,null,效率增强工具，适合快速启动、自动化或管理常用操作
,google-drive,transfer,productivity|transfer|utilities,transfer|utilities,com.google.drivefs,云端文件同步和协作入口，跨设备找资料很省心
,photoshop,picture-photo,design|media|picture-photo,media|picture-photo,null,专业图像编辑工具，修图、合成和设计都绕不开
,adobe-photoshop,picture-photo,design|media|picture-photo,media|picture-photo,com.adobe.Photoshop,专业图像编辑工具，修图、合成和商业设计都很强
,tencent-lemon-cleaner,file-management|system-maintenance,utilities,file-management|utilities|system-enhancement,com.tencent.Lemon,Mac 清理工具，适合清理垃圾文件和管理存储空间
,adobe-lightroom,picture-photo,design|media|picture-photo,media|picture-photo,com.adobe.Lightroom,照片管理和调色工具，处理 RAW 与批量照片很顺
,cyberduck,transfer|network-tools,browser|file-management|transfer|utilities,transfer|utilities,null,FTP/SFTP 和云存储客户端，传文件很方便
,gemini,file-management|system-maintenance,productivity|ai-tools,file-management|utilities|system-enhancement,null,重复和相似文件查找工具，可帮助释放磁盘空间
,puremac,file-management,utilities,file-management|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,journey,game,utilities|entertainment|game,entertainment|game,null,游戏，适合休闲娱乐和沉浸式体验
,keepassxc,security,utilities|security,security,null,账号安全工具，适合管理密码、验证码和通行密钥
,canva,picture-photo|office,productivity|design,productivity|writing|media|picture-photo,com.canva.CanvaDesktop,模板化设计工具，海报、社媒图和演示稿都能快速出图
,shottr,picture-photo,media|picture-photo|utilities,media|picture-photo,null,截图和标注工具，做产品反馈和视觉说明很利索
,alfred,Automation,productivity|utilities|system-enhancement,productivity|system-enhancement,com.runningwithcrayons.Alfred,老牌效率启动器，搜索、工作流和剪贴板都很强
,the-unarchiver,file-management,utilities,file-management|utilities,null,轻量解压工具，打开各种压缩包很省事
,fuse-t,file-management,utilities,file-management|utilities,null,FUSE 文件系统组件，适合让 macOS 挂载和访问扩展文件系统
,microsoft-word,writing|office,writing,productivity|writing,com.microsoft.Word,经典文字处理器，正式文档和审阅协作都很稳
,swiftbar,Automation|runtime-sdk,development|utilities|system-enhancement,productivity|development|system-enhancement,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,microsoft-excel,office,productivity,productivity|writing,com.microsoft.Excel,表格和数据分析老将，财务、运营和模型都靠它
,tor-browser,browser|security,browser|utilities|security,browser|security,null,安全工具，适合保护隐私、控制访问或加密数据
,background-music,audio|Automation,media|audio|utilities|entertainment,productivity|media|audio|system-enhancement,null,按 App 调节音量，还能把系统声音录进工作流
,kiro-cli,ai-tools|terminal-tools|ide,productivity|development|ai-tools,development|ai-tools,null,把 AI 带进开发流程，适合写代码、调试和自动化
,microsoft-powerpoint,office,productivity,productivity|writing,com.microsoft.Powerpoint,经典演示工具，商务汇报和课程课件都常用
,coteditor,ide,development|writing,development,null,针对 macOS 开发的轻量级代码编辑器
,microsoft-office,office,productivity,productivity|writing,null,办公套件，适合处理文档、表格和演示稿
,finetune,ai-tools|audio,productivity|media|audio|ai-tools,media|audio|ai-tools,null,AI 音频工具，适合整理、转写或优化声音内容
,dropbox,transfer,productivity|file-management|transfer|utilities,transfer|utilities,com.getdropbox.dropbox,老牌云同步工具，跨设备和团队共享文件很稳定
,openmtp,transfer|device-management,file-management|transfer|utilities,transfer|utilities|system-enhancement,null,文件管理工具，适合整理、传输、清理或备份文件
,raspberry-pi-imager,picture-photo,media|picture-photo|utilities,media|picture-photo,null,树莓派系统写盘工具，制作启动卡很省事
,font-jetbrains-mono-nerd-font,Font,development|utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,vivaldi,browser,browser|communication,browser,null,邮件客户端，适合集中收发和管理邮箱
,lulu,security,utilities|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,comfyui,ai-tools|picture-photo,development|media|picture-photo|ai-tools,media|picture-photo|ai-tools,null,节点式 AI 绘图工作流，适合精细控制生成过程
,epic-games-launcher,game,productivity|entertainment|game,entertainment|game,com.epicgames.EpicGamesLauncher,Epic 游戏启动器，领取、下载和更新游戏都靠它
,gcc-arm-embedded,device-management,utilities,utilities|system-enhancement,null,ARM 嵌入式开发工具链，适合交叉编译固件
,perplexity,ai-tools,productivity|entertainment|ai-tools,ai-tools,ai.perplexity.mac,AI 搜索和问答入口，适合快速查资料和追来源
,libreoffice-language-pack,office,productivity,productivity|writing,null,学习工具，适合查词、学习、参考或教育场景
,bettertouchtool,device-management|Automation,utilities|system-enhancement,productivity|utilities|system-enhancement,null,macOS 输入增强工具，适合自定义触控板、鼠标和快捷操作
,helium,utilities,browser,utilities,null,Chromium 内核网页浏览器
,termius,network-tools|terminal-tools,utilities,development|utilities,null,SSH 客户端，适合管理服务器连接和远程终端会话
,onyx,system-maintenance,utilities,utilities|system-enhancement,null,macOS 维护工具，适合清理缓存、调整系统选项和排查问题
,ollama-app,ai-tools,development|ai-tools,ai-tools,null,学习工具，适合查词、学习、参考或教育场景
,skim,PDF,writing,writing|utilities,null,PDF 阅读和批注工具，适合看论文和做研究标注
,grandperspective,file-management|system-maintenance,utilities,file-management|utilities|system-enhancement,null,文件管理工具，适合整理、传输、清理或备份文件
,font-meslo-lg-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,rstudio,ide|runtime-sdk,utilities,development,null,R 语言 IDE，统计分析和数据可视化常用
,android-file-transfer,transfer|device-management,file-management|transfer|utilities,transfer|utilities|system-enhancement,null,文件管理工具，适合整理、传输或清理文件
,kicad,3d-cad,productivity|design|utilities|system-enhancement,design,null,开源电路设计工具，画原理图和 PCB 很专业
,onedrive,transfer,productivity|file-management|transfer|utilities,transfer|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,blackhole-16ch,audio|device-management,media|audio|utilities,media|audio|utilities|system-enhancement,null,多通道虚拟音频驱动，适合复杂录音和直播
,clipy,Automation,productivity|utilities|system-enhancement,productivity|system-enhancement,null,效率增强工具，适合快速启动、自动化或管理常用操作
,t3-code,ai-tools,development|ai-tools,ai-tools,null,把 AI 带进开发流程，适合写代码、调试和自动化
,font-fira-code-nerd-font,Font,development|utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,espanso,Automation,utilities,productivity|system-enhancement,null,文本扩展工具，适合用缩写快速输入常用短语
,chatgpt-atlas,browser|ai-tools,browser|communication|productivity|ai-tools,browser|ai-tools,null,带 AI 助手的浏览器，边看网页边提问、整理和行动
,font-hack-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,darktable,picture-photo,productivity|development|media|picture-photo,media|picture-photo,null,开源 RAW 照片处理工具，适合摄影后期
,font-jetbrains-mono,Font,development|utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,telegram-desktop,communication|security,communication|utilities|security,communication|security,null,沟通工具，适合聊天、邮件、通话或团队交流
,handy,Automation,utilities,productivity|system-enhancement,null,语音转文字工具，可通过快捷键听写并自动输入文本
,affinity,picture-photo,design|media|picture-photo,media|picture-photo,null,设计套件入口，适合替代订阅制设计工具
,unnaturalscrollwheels,device-management,utilities,utilities|system-enhancement,null,鼠标滚轮方向反转工具
,appcleaner,file-management|system-maintenance,utilities,file-management|utilities|system-enhancement,null,文件管理工具，适合整理、传输、清理或备份文件
,google-gemini,ai-tools,productivity|ai-tools,ai-tools,null,效率工具，适合文档、记录或日常工作流
,rar,file-management,utilities,file-management|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,codexbar,ai-tools|Automation|terminal-tools,development|utilities|system-enhancement|ai-tools,productivity|development|system-enhancement|ai-tools,null,菜单栏 AI 编码助手入口，把开发提示放到手边
,battery,system-maintenance|terminal-tools,utilities,development|utilities|system-enhancement,null,开发者工具，适合命令行、构建、调试或工程管理
,bambu-studio,Font|ui-prototyping|3d-cad,utilities,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,anythingllm,ai-tools|communication,development|ai-tools,communication|ai-tools,null,把文档和知识库接入 AI 问答，适合私有资料助手
,cleanshot,picture-photo|system-maintenance,media|picture-photo|utilities,media|picture-photo|utilities|system-enhancement,null,截图、录屏和标注工具，做反馈和教程很利索
,aionui,ai-tools|terminal-tools,ai-tools,development|ai-tools,null,开发者工具，适合命令行、构建、调试或工程管理
,keyclu,Automation,utilities|system-enhancement,productivity|system-enhancement,null,专为macOS设计的免费工具，其主要功能是显示当前运行软件的快捷键
,font-symbols-only-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,coconutbattery,device-management|system-maintenance,utilities,utilities|system-enhancement,null,电池监控工具，适合查看 Mac 和 iOS 设备电池健康
,adobe-creative-cloud,video|picture-photo,design|media|video|picture-photo,media|video|picture-photo,null,Adobe 全家桶管理器，装插件和更新设计工具都靠它
,gitkraken,devops,productivity|development,development,null,开发相关工具，适合编程、调试或管理开发环境
,yubico-authenticator,security,utilities|security,security,null,安全相关工具，适合隐私保护、访问控制或账号防护
,daisydisk,file-management|system-maintenance,utilities,file-management|utilities|system-enhancement,null,文件管理工具，适合整理、传输、清理或备份文件
,librecad,Font|ui-prototyping|3d-cad,utilities,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,hiddenbar,system-maintenance,utilities,utilities|system-enhancement,null,编程开发工具，适合编写、阅读和维护代码
,latest,system-maintenance,utilities,utilities|system-enhancement,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,snipaste,picture-photo,media|picture-photo|utilities,media|picture-photo,null,截图加贴图工具，适合把参考内容固定在屏幕上
,capcut,video|audio,design|media|video|picture-photo,media|video|audio,null,轻量视频剪辑工具，做短视频和社媒内容很顺手
,bbedit,ide,development|writing,development,null,开发相关工具，适合编程、调试或管理开发环境
,little-snitch,security,utilities|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,charles,network-tools|security,utilities,utilities|security,null,网页抓包代理，调试接口、证书和网络请求很清楚
,gpg-suite,communication|security,communication|utilities|security,communication|security,null,邮件客户端，适合集中收发和管理邮箱
,omnidisksweeper,system-maintenance,utilities,utilities|system-enhancement,null,磁盘空间清理工具，适合找出并删除大文件
,docker-tap-sbx,devops|runtime-sdk,development|utilities|system-enhancement,development,null,容器开发辅助工具，适合本地环境管理
,font-fira-code,Font,development|utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,kap,video,media|video|utilities,media|video,null,开源录屏工具，快速录制屏幕并导出 GIF 或视频
,conductor,ai-tools,development|ai-tools,ai-tools,null,把 AI 带进开发流程，适合写代码、调试和自动化
,zen,browser,browser|utilities|security,browser,null,网页浏览器，适合日常上网和访问 Web 服务
,mockoon,api-tools,utilities,development,null,API 调试工具，适合测试接口、请求和开发流程
,proton-mail,communication,communication|productivity,communication,null,重视隐私的邮件客户端，适合安全收发邮件
,bunch,Automation,productivity|utilities|system-enhancement,productivity|system-enhancement,null,效率增强工具，适合快速启动、自动化或管理常用操作
,memo,writing,development|writing,writing,null,开发相关工具，适合编程、调试或管理开发环境
,proton-pass,security,utilities,security,null,密码管理器，适合保存账号、密码和验证码
,visualvm,system-maintenance|runtime-sdk,utilities,development|utilities|system-enhancement,null,Java 性能分析工具，适合监控、分析和调试 JVM 应用
,font-source-code-pro,Font,development|utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,devtoys,ide,productivity|development|design|utilities,development,null,开发者小工具箱，编码转换、哈希和格式化一站解决
,duckduckgo,browser|security,browser|utilities|security,browser|security,null,安全工具，适合保护隐私、控制访问或加密数据
,plex,video,media|video|entertainment,media|video,null,家庭媒体库中心，把电影、剧集和音乐整理后跨设备播放
,ubersicht,Automation,utilities|system-enhancement,productivity|system-enhancement,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,textmate,ide,development|writing,development,null,著名的文本编辑器，主要用于编写代码和脚本
,font-sauce-code-pro-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-blex-mono-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,knockknock,security,utilities,security,null,macOS 安全检查工具，适合发现持久化启动项和可疑组件
,virtualbox,devops,development|utilities,development,null,由德国Innotek公司开发的免费开源虚拟机软件，现由Oracle公司维护
,salesforce-cli,terminal-tools|devops,utilities,development,null,开发者工具，适合命令行、构建、调试或工程管理
,font-maple-mono-nf-cn,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,proton-drive,transfer,utilities,transfer|utilities,null,加密云盘客户端，适合同步和保存隐私文件
,downie,video|transfer,transfer|development|media|video|utilities,transfer|media|video|utilities,null,在线视频下载工具，适合保存课程、演讲和公开素材
,font-0xproto-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,jd-gui,terminal-tools,utilities,development,null,开发者工具，适合命令行、构建、调试或工程管理
,finicky,browser,browser|utilities,browser,null,macOS应用程序，能够让用户根据特定规则决定每个网址打开的浏览器
,webex,Meeting,communication|productivity|media|video,communication|productivity,null,企业级视频会议工具，适合正式远程沟通
,barrier,device-management,utilities,utilities|system-enhancement,null,键鼠共享工具，适合在多台电脑间共用键盘和鼠标
,copyq,Automation,productivity|utilities|system-enhancement,productivity|system-enhancement,null,效率增强工具，适合快速启动、自动化或管理常用操作
,deskflow-tap-deskflow,device-management,utilities,utilities|system-enhancement,null,键鼠共享工具，适合在多台电脑之间共用键盘和鼠标
,youtube-downloader,video|transfer,transfer|media|video|utilities|system-enhancement|entertainment,transfer|media|video|utilities,null,轻量视频下载工具，适合把在线素材保存到本地
,font-caskaydia-mono-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,react-native-debugger,api-tools,utilities,development,null,React Native 调试工具，适合检查应用状态和网络请求
,forklift,transfer,file-management|transfer|utilities,transfer|utilities,null,传输工具，适合下载、同步或在设备间传文件
,font-droid-sans-mono-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-ubuntu-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,mullvad-browser,browser|security,browser|utilities|security,browser|security,null,安全工具，适合保护隐私、控制访问或加密数据
,font-go-mono-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,platypus,terminal-tools,utilities,development,null,开发者工具，适合命令行、构建、调试或工程管理
,claudebar,ai-tools,development|utilities|system-enhancement|ai-tools,ai-tools,null,菜单栏 Claude 入口，随手提问和处理文本更快
,cryptomator,security|finance,utilities|finance|security,finance|security,null,给云盘文件加密，敏感资料同步前先锁起来
,reactotron,api-tools,utilities,development,null,应用调试工具，适合调试 React Native 和相关开发流程
,claude-devtools,ai-tools|api-tools,productivity|development|ai-tools,development|ai-tools,null,把 AI 带进开发流程，适合写代码、调试和自动化
,font-comic-shanns-mono-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,adguard,security,utilities,security,null,广告拦截和隐私保护工具，适合过滤网页广告和追踪器
,veracrypt,security,utilities|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,open-webui,ai-tools,development|ai-tools,ai-tools,null,本地 AI 模型网页界面，适合统一管理聊天和模型
,font-inter,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,lidanglesensor,audio|device-management|Automation,media|audio|utilities|system-enhancement,productivity|media|audio|utilities|system-enhancement,null,读取笔记本开合角度的小工具，适合自动化和硬件实验
,cleanmymac,system-maintenance,utilities,utilities|system-enhancement,null,Mac 清理维护工具，适合清理垃圾、卸载应用和优化系统
,repobar,ide,development|utilities|system-enhancement,development,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,zed-preview,ide,development|media|picture-photo|utilities|system,development,null,高性能协作代码编辑器，适合尝鲜新版 Zed 功能
,mattermost,communication,communication|productivity,communication,null,自部署团队聊天工具，适合重视数据控制的团队
,kdiff3,devops,development|utilities,development,null,开发相关工具，适合编程、调试或管理开发环境
,linear,ide,productivity|development,development,null,面向产品和研发团队的问题追踪工具
,copyclip,Automation,productivity|utilities|system-enhancement,productivity|system-enhancement,null,轻量剪贴板历史工具，常驻菜单栏保存复制记录
,blackhole-64ch,audio|device-management,media|audio|utilities,media|audio|utilities|system-enhancement,null,高通道虚拟音频驱动，适合专业音频路由
,rectangle-pro,window-management|Automation,utilities|system-enhancement,productivity|utilities|system-enhancement,null,窗口管理工具，适合用快捷键和布局快速整理窗口
,flycut,Automation,productivity|development|utilities|system-enhancement,productivity|system-enhancement,null,开源剪贴板历史工具，复制过的文字随时找回来
,transmit,transfer|network-tools,file-management|transfer|utilities,transfer|utilities,null,经典文件传输客户端，FTP、SFTP 和云端文件管理都很稳
,miro,Notes,productivity,productivity|writing,null,在线白板，适合头脑风暴、流程图和远程共创
,jellyfin-media-player,video,media|video|entertainment,media|video,null,媒体工具，适合处理图片、音频或视频内容
,macos-fuse-t-cask-fuse-t,file-management,utilities,file-management|utilities,null,FUSE 文件系统组件，适合让 macOS 挂载和访问扩展文件系统
,jan,ai-tools|communication,communication|productivity|ai-tools,communication|ai-tools,null,本地 AI 聊天工具，把模型运行在自己的电脑上
,wave,terminal-tools,utilities,development,null,终端模拟器，适合命令行开发和日常 Shell 工作
,microsoft-onenote,Notes,productivity|development|writing,productivity|writing,null,微软笔记本，适合课堂记录、项目资料和手写内容
