rank,name,defaultTagIDs,defaultTagNamesEN,bundleIdentifier,normalizedName,oldCategoryCandidates,sourceEvidence,mergedCandidateRanks,tagReviewStatus,tagConfidence,regionHints,notes
11,Discord,communication,Communication,com.hnc.Discord,discord,communication,global_manual_seed:7|icon_pack_signal_seed:7|homebrew_cask_30d:53|icon_pack_signal_seed:11,11|38,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=8,722;percent=0.37;cask=discord / appears in common macOS icon-pack style seed list"
12,QQ,communication,Communication,com.tencent.qq,qq,communication,china_manual_seed:2|homebrew_cask_30d:491,12|587,top300_needs_human_review,0.78,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog / homebrew_count=462;percent=0.02;cask=qq
13,Visual Studio Code,development,Development,com.microsoft.VSCode,visual-studio-code,development,homebrew_cask_30d:5|icon_pack_signal_seed:8|global_manual_seed:13|icon_pack_signal_seed:13,13,top300_needs_human_review,0.78,,"homebrew_count=47,454;percent=2.01;cask=visual-studio-code / appears in common macOS icon-pack style seed list / global high-frequency seed; bundle id should be verified before final catalog"
14,Mail,communication,Communication,com.apple.mail,mail,communication,apple_system_seed:3|icon_pack_signal_seed:3,14|28,top300_needs_human_review,0.78,,Apple system/pro app seed / appears in common macOS icon-pack style seed list
15,Zoom,communication|productivity,Communication|Productivity,us.zoom.xos,zoom,communication,global_manual_seed:8|icon_pack_signal_seed:8|homebrew_cask_30d:86|icon_pack_signal_seed:29,15|118,top300_needs_human_review,0.82,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=5,151;percent=0.22;cask=zoom / appears in common macOS icon-pack style seed list"
16,Claude Code,ai-tools|development,AI Tools|Development,,claude-code,ai-tools,homebrew_cask_30d:1,16,top300_needs_human_review,0.82,,"homebrew_count=125,989;percent=5.33;cask=claude-code"
17,Tencent Meeting,communication|productivity,Communication|Productivity,com.tencent.meeting,tencent-meeting,communication,china_manual_seed:3|homebrew_cask_30d:443,17|540,top300_needs_human_review,0.82,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog / homebrew_count=540;percent=0.02;cask=tencent-meeting
18,Messages,communication,Communication,com.apple.MobileSMS,messages,communication|other,apple_system_seed:4|icon_pack_signal_seed:4,18|32,top300_needs_human_review,0.78,,Apple system/pro app seed / appears in common macOS icon-pack style seed list
20,Microsoft Teams,communication|productivity,Communication|Productivity,com.microsoft.teams2,microsoft-teams,communication,global_manual_seed:9|icon_pack_signal_seed:9|homebrew_cask_30d:107,20|209,top300_needs_human_review,0.82,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=4,298;percent=0.18;cask=microsoft-teams"
21,Codex,ai-tools|development,AI Tools|Development,,codex,ai-tools,homebrew_cask_30d:2,21,top300_needs_human_review,0.82,,"homebrew_count=92,932;percent=3.93;cask=codex"
22,DingTalk,communication|productivity,Communication|Productivity,com.alibaba.DingTalkMac,dingtalk,communication,china_manual_seed:4|homebrew_cask_30d:875,22|971,top300_needs_human_review,0.82,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog / homebrew_count=207;percent=0.01;cask=dingtalk
23,FaceTime,communication,Communication,com.apple.FaceTime,facetime,communication,apple_system_seed:5,23,top300_needs_human_review,0.78,,Apple system/pro app seed
25,Telegram,communication,Communication,ru.keepcoder.Telegram,telegram,communication,global_manual_seed:10|icon_pack_signal_seed:10|homebrew_cask_30d:100|icon_pack_signal_seed:28,25|115,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=4,478;percent=0.19;cask=telegram / appears in common macOS icon-pack style seed list"
26,Gcloud CLI,development,Development,,gcloud-cli,development,homebrew_cask_30d:3,26,top300_needs_human_review,0.78,,"homebrew_count=57,761;percent=2.44;cask=gcloud-cli"
27,Calendar,productivity,Productivity,com.apple.iCal,calendar,productivity,apple_system_seed:6|icon_pack_signal_seed:5,27|37,top300_needs_human_review,0.78,,Apple system/pro app seed / appears in common macOS icon-pack style seed list
29,WhatsApp,communication,Communication,net.whatsapp.WhatsApp,whatsapp,communication,global_manual_seed:11|icon_pack_signal_seed:11|homebrew_cask_30d:80,29|183,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=5,502;percent=0.23;cask=whatsapp"
30,Feishu,communication|productivity,Communication|Productivity,com.electron.lark,feishu,communication,china_manual_seed:6|homebrew_cask_30d:361,30|459,top300_needs_human_review,0.82,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog / China/Asia high-frequency seed; bundle id should be verified before final catalog / homebrew_count=714;percent=0.03;cask=feishu
31,Notes,writing,Writing,com.apple.Notes,notes,writing,apple_system_seed:7|icon_pack_signal_seed:6,31|42,top300_needs_human_review,0.78,,Apple system/pro app seed / appears in common macOS icon-pack style seed list
33,Signal,communication,Communication,org.whispersystems.signal-desktop,signal,communication,global_manual_seed:12|icon_pack_signal_seed:12|homebrew_cask_30d:136,33|236,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=2,851;percent=0.12;cask=signal"
34,Baidu Netdisk,transfer,Uploads & Downloads,com.baidu.netdisk,baidu-netdisk,productivity,china_manual_seed:7,34,top300_needs_human_review,0.78,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog
36,Reminders,productivity,Productivity,com.apple.reminders,reminders,productivity,apple_system_seed:8,36,top300_needs_human_review,0.78,,Apple system/pro app seed
39,Ghostty,development,Development,com.mitchellh.ghostty,ghostty,development,homebrew_cask_30d:6|global_manual_seed:19|icon_pack_signal_seed:19,39,top300_needs_human_review,0.78,,"homebrew_count=42,210;percent=1.79;cask=ghostty / global high-frequency seed; bundle id should be verified before final catalog"
40,WPS Office,productivity,Productivity,com.kingsoft.wpsoffice.mac,wps-office,productivity,china_manual_seed:8,40,top300_needs_human_review,0.78,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog
41,Photos,picture-photo,Pictures & Photos,com.apple.Photos,photos,media,apple_system_seed:9,41,top300_needs_human_review,0.78,,Apple system/pro app seed
43,Cursor,ai-tools|development,AI Tools|Development,com.todesktop.230313mzl4w4u92,cursor,ai-tools|development,global_manual_seed:14|icon_pack_signal_seed:14|homebrew_cask_30d:38,43|146,top300_needs_human_review,0.82,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=11,043;percent=0.47;cask=cursor"
44,Figma,design|productivity,Design|Productivity,com.figma.Desktop,figma,design,homebrew_cask_30d:116|icon_pack_signal_seed:12|global_manual_seed:20|icon_pack_signal_seed:20,44,top300_needs_human_review,0.82,,"homebrew_count=3,795;percent=0.16;cask=figma / appears in common macOS icon-pack style seed list / global high-frequency seed; bundle id should be verified before final catalog"
45,NetEase Cloud Music,audio|entertainment,Audio|Entertainment,com.netease.163music,netease-cloud-music,media,china_manual_seed:9,45,top300_needs_human_review,0.82,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog
46,Music,audio|entertainment,Audio|Entertainment,com.apple.Music,music,media,apple_system_seed:10,46,top300_needs_human_review,0.82,,Apple system/pro app seed
47,Terminal,development|system|utilities,Development|System Apps|Utilities,com.apple.Terminal,terminal,development,icon_pack_signal_seed:7|apple_system_seed:14,47,top300_needs_human_review,0.82,,appears in common macOS icon-pack style seed list / Apple system/pro app seed
48,Iterm2,development,Development,com.googlecode.iterm2,iterm2,development,homebrew_cask_30d:13|icon_pack_signal_seed:27|global_manual_seed:18|icon_pack_signal_seed:18,48,top300_needs_human_review,0.78,,"homebrew_count=31,112;percent=1.32;cask=iterm2 / appears in common macOS icon-pack style seed list / global high-frequency seed; bundle id should be verified before final catalog"
49,QQ Music,audio|entertainment,Audio|Entertainment,com.tencent.QQMusicMac,qq-music,media,china_manual_seed:10,49,top300_needs_human_review,0.82,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog
50,TV,video|media|entertainment,Video|Media|Entertainment,com.apple.TV,tv,media,apple_system_seed:11,50,top300_needs_human_review,0.82,,Apple system/pro app seed
51,GitHub Desktop,development,Development,com.github.GitHubClient,github-desktop,development,global_manual_seed:16|icon_pack_signal_seed:16|icon_pack_signal_seed:9,51|55,top300_needs_human_review,0.78,,global high-frequency seed; bundle id should be verified before final catalog / appears in common macOS icon-pack style seed list
52,Tencent Video,video|media|entertainment,Video|Media|Entertainment,com.tencent.tenvideo,tencent-video,media,china_manual_seed:11,52,top300_needs_human_review,0.82,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog
53,Ngrok,development,Development,,ngrok,other,homebrew_cask_30d:7,53,top300_needs_human_review,0.78,,"homebrew_count=40,118;percent=1.70;cask=ngrok"
54,Podcasts,audio|entertainment,Audio|Entertainment,com.apple.podcasts,podcasts,media,apple_system_seed:12,54,top300_needs_human_review,0.82,,Apple system/pro app seed
56,Postman,development,Development,com.postmanlabs.mac,postman,development,global_manual_seed:17|icon_pack_signal_seed:17|homebrew_cask_30d:31,56|136,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=12,369;percent=0.52;cask=postman"
58,iQIYI,video|media|entertainment,Video|Media|Entertainment,com.iqiyi.player,iqiyi,media,china_manual_seed:12,58,top300_needs_human_review,0.82,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog
59,Android Platform Tools,development,Development,,android-platform-tools,other,homebrew_cask_30d:8,59,top300_needs_human_review,0.78,,"homebrew_count=38,796;percent=1.64;cask=android-platform-tools"
60,Preview,picture-photo|system|utilities,Pictures & Photos|System Apps|Utilities,com.apple.Preview,preview,utilities,apple_system_seed:13,60,top300_needs_human_review,0.82,,Apple system/pro app seed
61,Notion,writing|productivity,Writing|Productivity,notion.id,notion,writing|productivity,homebrew_cask_30d:74|icon_pack_signal_seed:16|global_manual_seed:27|icon_pack_signal_seed:27,61,top300_needs_human_review,0.82,,"homebrew_count=5,737;percent=0.24;cask=notion / appears in common macOS icon-pack style seed list / global high-frequency seed; bundle id should be verified before final catalog"
62,Youku,video|media|entertainment,Video|Media|Entertainment,com.youku.mac,youku,media,china_manual_seed:13,62,top300_needs_human_review,0.82,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog
63,Libreoffice,productivity,Productivity,,libreoffice,other,homebrew_cask_30d:9,63,top300_needs_human_review,0.78,,"homebrew_count=38,795;percent=1.64;cask=libreoffice"
64,Bilibili,video|media|entertainment,Video|Media|Entertainment,com.bilibili.bilibili,bilibili,media|other,china_manual_seed:14|homebrew_cask_30d:886,64|985,top300_needs_human_review,0.82,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog / homebrew_count=203;percent=0.01;cask=bilibili
65,Obsidian,writing,Writing,md.obsidian,obsidian,writing,homebrew_cask_30d:18|icon_pack_signal_seed:17|global_manual_seed:28|icon_pack_signal_seed:28,65,top300_needs_human_review,0.78,,"homebrew_count=23,465;percent=0.99;cask=obsidian / appears in common macOS icon-pack style seed list / global high-frequency seed; bundle id should be verified before final catalog"
66,Activity Monitor,system|utilities,System Apps|Utilities,com.apple.ActivityMonitor,activity-monitor,system,apple_system_seed:15,66,top300_needs_human_review,0.82,,Apple system/pro app seed
67,Spotify,audio|entertainment,Audio|Entertainment,com.spotify.client,spotify,media,homebrew_cask_30d:55|icon_pack_signal_seed:18|global_manual_seed:37|icon_pack_signal_seed:37,67,top300_needs_human_review,0.82,,"homebrew_count=8,669;percent=0.37;cask=spotify / appears in common macOS icon-pack style seed list / global high-frequency seed; bundle id should be verified before final catalog"
68,Ximalaya,audio|media|entertainment,Audio|Media|Entertainment,com.ximalaya.ting,ximalaya,media,china_manual_seed:15,68,top300_needs_human_review,0.82,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog
69,Cc Switch,ai-tools|development,AI Tools|Development,,cc-switch,other,homebrew_cask_30d:11,69,top300_needs_human_review,0.82,,"homebrew_count=34,136;percent=1.44;cask=cc-switch"
70,Disk Utility,system|utilities,System Apps|Utilities,com.apple.DiskUtility,disk-utility,system,apple_system_seed:16,70,top300_needs_human_review,0.82,,Apple system/pro app seed
71,Sketch,design|productivity,Design|Productivity,com.bohemiancoding.sketch3,sketch,design,icon_pack_signal_seed:13|global_manual_seed:21|icon_pack_signal_seed:21,71,top300_needs_human_review,0.82,,appears in common macOS icon-pack style seed list / global high-frequency seed; bundle id should be verified before final catalog
72,1password CLI,security|utilities,Security|Utilities,,1password-cli,productivity,homebrew_cask_30d:14,72,top300_needs_human_review,0.82,,"homebrew_count=30,099;percent=1.27;cask=1password-cli"
73,Sogou Input,utilities,Utilities,com.sogou.inputmethod.sogou,sogou-input,utilities,china_manual_seed:16,73,top300_needs_human_review,0.78,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog
74,VLC,video|media,Video|Media,org.videolan.vlc,vlc,media,homebrew_cask_30d:44|icon_pack_signal_seed:19|global_manual_seed:38|icon_pack_signal_seed:38,74,top300_needs_human_review,0.82,,"homebrew_count=10,229;percent=0.43;cask=vlc / appears in common macOS icon-pack style seed list / global high-frequency seed; bundle id should be verified before final catalog"
75,Copilot CLI,ai-tools|development,AI Tools|Development,,copilot-cli,other,homebrew_cask_30d:12,75,top300_needs_human_review,0.82,,"homebrew_count=31,513;percent=1.33;cask=copilot-cli"
76,System Settings,system|utilities,System Apps|Utilities,com.apple.systempreferences,system-settings,system,apple_system_seed:17,76,top300_needs_human_review,0.82,,Apple system/pro app seed
77,Photoshop,design|picture-photo,Design|Pictures & Photos,,photoshop,design,icon_pack_signal_seed:14,77,top300_needs_human_review,0.82,,appears in common macOS icon-pack style seed list
78,Adobe Photoshop,design|picture-photo,Design|Pictures & Photos,com.adobe.Photoshop,adobe-photoshop,design,global_manual_seed:22|icon_pack_signal_seed:22,78,top300_needs_human_review,0.82,,global high-frequency seed; bundle id should be verified before final catalog
79,Steam,game|entertainment,Games|Entertainment,com.valvesoftware.steam,steam,entertainment,homebrew_cask_30d:112|icon_pack_signal_seed:20|global_manual_seed:41|icon_pack_signal_seed:41,79,top300_needs_human_review,0.82,,"homebrew_count=3,925;percent=0.17;cask=steam / appears in common macOS icon-pack style seed list / global high-frequency seed; bundle id should be verified before final catalog"
80,Tencent Lemon Cleaner,utilities,Utilities,com.tencent.Lemon,tencent-lemon-cleaner,utilities,china_manual_seed:17,80,top300_needs_human_review,0.78,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog
81,App Store,system|utilities,System Apps|Utilities,com.apple.AppStore,app-store,system,apple_system_seed:18,81,top300_needs_human_review,0.82,,Apple system/pro app seed
82,Illustrator,design,Design,,illustrator,design,icon_pack_signal_seed:15,82,top300_needs_human_review,0.78,,appears in common macOS icon-pack style seed list
83,Adobe Illustrator,design,Design,com.adobe.illustrator,adobe-illustrator,design,global_manual_seed:23|icon_pack_signal_seed:23,83,top300_needs_human_review,0.78,,global high-frequency seed; bundle id should be verified before final catalog
84,Claude,ai-tools|productivity,AI Tools|Productivity,com.anthropic.claudefordesktop,claude,ai-tools,homebrew_cask_30d:16|global_manual_seed:44|icon_pack_signal_seed:44,84,top300_needs_human_review,0.82,,"homebrew_count=24,729;percent=1.05;cask=claude / global high-frequency seed; bundle id should be verified before final catalog"
85,PicGo,utilities,Utilities,com.molunerfinn.PicGo,picgo,utilities,china_manual_seed:18,85,top300_needs_human_review,0.78,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog
86,Maps,productivity,Productivity,com.apple.Maps,maps,productivity,apple_system_seed:19,86,top300_needs_human_review,0.78,,Apple system/pro app seed
87,Adobe Lightroom,design|picture-photo,Design|Pictures & Photos,com.adobe.Lightroom,adobe-lightroom,design,global_manual_seed:24|icon_pack_signal_seed:24,87,top300_needs_human_review,0.82,,global high-frequency seed; bundle id should be verified before final catalog
88,ClashX,utilities,Utilities,com.west2online.ClashX,clashx,utilities,china_manual_seed:19,88,top300_needs_human_review,0.78,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog
90,Freeform,productivity,Productivity,com.apple.freeform,freeform,productivity,apple_system_seed:20,90,top300_needs_human_review,0.78,,Apple system/pro app seed
91,Git Credential Manager,development,Development,,git-credential-manager,other,homebrew_cask_30d:15,91,top300_needs_human_review,0.78,,"homebrew_count=28,755;percent=1.22;cask=git-credential-manager"
92,Blender,design,Design,org.blenderfoundation.blender,blender,design,global_manual_seed:25|icon_pack_signal_seed:25|homebrew_cask_30d:75,92|179,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=5,722;percent=0.24;cask=blender"
94,Surge,security|utilities,Security|Utilities,com.nssurge.surge-mac,surge,utilities,china_manual_seed:20,94,top300_needs_human_review,0.82,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog
95,Books,education,Education,com.apple.iBooksX,books,education,apple_system_seed:21,95,top300_needs_human_review,0.78,,Apple system/pro app seed
96,Canva,design|productivity,Design|Productivity,com.canva.CanvaDesktop,canva,design|other,global_manual_seed:26|icon_pack_signal_seed:26|homebrew_cask_30d:623,96|721,top300_needs_human_review,0.82,,global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=336;percent=0.01;cask=canva
97,Raycast,productivity|utilities|system-enhancement,Productivity|Utilities|System Enhancements,com.raycast.macos,raycast,productivity,homebrew_cask_30d:33|icon_pack_signal_seed:24|global_manual_seed:35|icon_pack_signal_seed:35,97,top300_needs_human_review,0.82,,"homebrew_count=12,016;percent=0.51;cask=raycast / appears in common macOS icon-pack style seed list / global high-frequency seed; bundle id should be verified before final catalog"
98,Yuque,entertainment,Entertainment,com.alipay.hulu,yuque,writing,china_manual_seed:21,98,top300_needs_human_review,0.78,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog
99,Keynote,productivity,Productivity,com.apple.iWork.Keynote,keynote,productivity,apple_system_seed:22,99,top300_needs_human_review,0.78,,Apple system/pro app seed
100,Microsoft/git/microsoft Git,development,Development,,microsoft-git-microsoft-git,other,homebrew_cask_30d:17,100,top300_needs_human_review,0.78,,"homebrew_count=24,171;percent=1.02;cask=microsoft/git/microsoft-git"
101,Alfred,productivity|utilities|system-enhancement,Productivity|Utilities|System Enhancements,com.runningwithcrayons.Alfred,alfred,productivity,homebrew_cask_30d:163|icon_pack_signal_seed:25|global_manual_seed:36|icon_pack_signal_seed:36,101,top300_needs_human_review,0.78,,"homebrew_count=2,269;percent=0.10;cask=alfred / appears in common macOS icon-pack style seed list / global high-frequency seed; bundle id should be verified before final catalog"
102,Youdao Dictionary,education,Education,com.youdao.YoudaoDict,youdao-dictionary,education,china_manual_seed:22,102,top300_needs_human_review,0.78,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog
103,Numbers,productivity,Productivity,com.apple.iWork.Numbers,numbers,productivity,apple_system_seed:23,103,top300_needs_human_review,0.78,,Apple system/pro app seed
104,Chromedriver,browser,Browsers,,chromedriver,browser,homebrew_cask_30d:21,104,top300_needs_human_review,0.78,,"homebrew_count=21,563;percent=0.91;cask=chromedriver"
105,Eudic,education,Education,com.eusoft.eudic,eudic,education,china_manual_seed:23,105,top300_needs_human_review,0.78,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog
106,Orbstack,development,Development,,orbstack,other,homebrew_cask_30d:19,106,top300_needs_human_review,0.78,,"homebrew_count=23,411;percent=0.99;cask=orbstack"
107,Pages,writing,Writing,com.apple.iWork.Pages,pages,writing,apple_system_seed:24,107,top300_needs_human_review,0.78,,Apple system/pro app seed
108,Chrome,browser,Browsers,,chrome,browser,icon_pack_signal_seed:21,108,top300_needs_human_review,0.78,,appears in common macOS icon-pack style seed list
109,Microsoft Word,writing,Writing,com.microsoft.Word,microsoft-word,writing|productivity,global_manual_seed:29|icon_pack_signal_seed:29|homebrew_cask_30d:228,109|325,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=1,521;percent=0.06;cask=microsoft-word"
110,MWeb,writing,Writing,com.coderforart.MWeb3,mweb,writing,china_manual_seed:24,110,top300_needs_human_review,0.78,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog
111,Android Commandlinetools,development,Development,,android-commandlinetools,other,homebrew_cask_30d:20,111,top300_needs_human_review,0.78,,"homebrew_count=22,475;percent=0.95;cask=android-commandlinetools"
112,GarageBand,audio|media,Audio|Media,com.apple.garageband10,garageband,media,apple_system_seed:25,112,top300_needs_human_review,0.78,,Apple system/pro app seed
113,Microsoft Excel,productivity,Productivity,com.microsoft.Excel,microsoft-excel,productivity,global_manual_seed:30|icon_pack_signal_seed:30|homebrew_cask_30d:233,113|330,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=1,463;percent=0.06;cask=microsoft-excel"
114,MarginNote,education,Education,QReader.MarginStudyMac,marginnote,education,china_manual_seed:25,114,top300_needs_human_review,0.78,CN,China/Asia high-frequency seed; bundle id should be verified before final catalog
116,iMovie,media,Media,com.apple.iMovieApp,imovie,media,apple_system_seed:26,116,top300_needs_human_review,0.78,,Apple system/pro app seed
117,Microsoft PowerPoint,productivity,Productivity,com.microsoft.Powerpoint,microsoft-powerpoint,productivity,global_manual_seed:31|icon_pack_signal_seed:31|homebrew_cask_30d:269,117|365,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=1,166;percent=0.05;cask=microsoft-powerpoint"
119,Final Cut Pro,video|media,Video|Media,com.apple.FinalCut,final-cut-pro,media,apple_system_seed:27,119,top300_needs_human_review,0.78,,Apple system/pro app seed
120,Flutter,development,Development,,flutter,other,homebrew_cask_30d:22,120,top300_needs_human_review,0.78,,"homebrew_count=20,144;percent=0.85;cask=flutter"
121,1Password,security|utilities,Security|Utilities,com.1password.1password,1password,productivity,global_manual_seed:32|icon_pack_signal_seed:32|homebrew_cask_30d:73|icon_pack_signal_seed:30,121|122,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=5,763;percent=0.24;cask=1password / appears in common macOS icon-pack style seed list"
123,Logic Pro,audio|media,Audio|Media,com.apple.logic10,logic-pro,media,apple_system_seed:28,123,top300_needs_human_review,0.78,,Apple system/pro app seed
124,Dropbox,productivity|transfer,Productivity|Uploads & Downloads,com.getdropbox.dropbox,dropbox,productivity,global_manual_seed:33|icon_pack_signal_seed:33|homebrew_cask_30d:235|icon_pack_signal_seed:31,124|125,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=1,443;percent=0.06;cask=dropbox / appears in common macOS icon-pack style seed list"
126,Tailscale App,security|utilities,Security|Utilities,,tailscale-app,utilities,homebrew_cask_30d:26,126,top300_needs_human_review,0.78,,"homebrew_count=16,462;percent=0.70;cask=tailscale-app"
127,Temurin@17,development,Development,,temurin-17,other,homebrew_cask_30d:24,127,top300_needs_human_review,0.78,,"homebrew_count=17,341;percent=0.73;cask=temurin@17"
128,Xcode,development,Development,com.apple.dt.Xcode,xcode,development,apple_system_seed:29,128,top300_needs_human_review,0.78,,Apple system/pro app seed
129,Google Drive,productivity|transfer,Productivity|Uploads & Downloads,com.google.drivefs,google-drive,productivity,global_manual_seed:34|icon_pack_signal_seed:34|homebrew_cask_30d:121,129|220,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=3,468;percent=0.15;cask=google-drive"
130,Font Jetbrains Mono Nerd Font,development|utilities,Development|Utilities,,font-jetbrains-mono-nerd-font,other,homebrew_cask_30d:25,130,top300_needs_human_review,0.78,,"homebrew_count=17,089;percent=0.72;cask=font-jetbrains-mono-nerd-font"
131,TestFlight,development,Development,com.apple.TestFlight,testflight,development,apple_system_seed:30,131,top300_needs_human_review,0.78,,Apple system/pro app seed
132,Claude Code@latest,ai-tools|development,AI Tools|Development,,claude-code-latest,ai-tools,homebrew_cask_30d:28,132,top300_needs_human_review,0.78,,"homebrew_count=14,865;percent=0.63;cask=claude-code@latest"
133,Stats,utilities,Utilities,,stats,utilities,homebrew_cask_30d:29,133,top300_needs_human_review,0.78,,"homebrew_count=14,324;percent=0.61;cask=stats"
134,Warp,development,Development,,warp,other,homebrew_cask_30d:27,134,top300_needs_human_review,0.78,,"homebrew_count=16,349;percent=0.69;cask=warp"
135,Zed,development,Development,,zed,development,homebrew_cask_30d:30,135,top300_needs_human_review,0.78,,"homebrew_count=13,979;percent=0.59;cask=zed"
137,IINA,video|media,Video|Media,com.colliderli.iina,iina,media,global_manual_seed:39|icon_pack_signal_seed:39|homebrew_cask_30d:62,137|167,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=6,984;percent=0.30;cask=iina"
138,OBS Studio,video|media,Video|Media,com.obsproject.obs-studio,obs-studio,media,global_manual_seed:40|icon_pack_signal_seed:40,138,top300_needs_human_review,0.78,,global high-frequency seed; bundle id should be verified before final catalog
