normalizedName,tager,bundleIdentifier,defaultNote-ZH
image-capture,picture-photo|transfer|device-management,com.apple.image_capture,从相机或扫描仪导入图片，朴素但稳定
image-playground,ai-tools|picture-photo,com.apple.generativeplaygroundapp,用 Apple 智能生成图像，适合快速玩创意草稿
imovie,video,com.apple.iMovieApp,入门级视频剪辑，家庭视频和轻量短片够用
iphone-mirroring,device-management,com.apple.screencontinuity,在 Mac 上直接操作 iPhone，跨设备处理消息和应用
journal,Notes,com.apple.journal,记录日常片段，让碎碎念慢慢变成个人时间线
keynote,office,com.apple.iWork.Keynote,苹果式演示文稿工具，做漂亮幻灯片很顺手
magnifier,system,com.apple.magnifier,放大屏幕细节，给视力和精细检查一个帮手
maps,GTD,com.apple.Maps,查路线、看城市，也能把目的地推给 iPhone
migration-assistant,transfer,com.apple.migrateassistant,换新 Mac 时搬家，把旧资料迁到新机器
mission-control,system,com.apple.exposelauncher,窗口和桌面的空中俯视图，乱了就看它
news,media,com.apple.news,苹果新闻入口，适合看精选媒体内容
numbers,office,com.apple.iWork.Numbers,苹果表格工具，轻量报表比 Excel 更清爽
pages,writing|office,com.apple.iWork.Pages,苹果文字处理器，写文档和排版都好看
passwords,security,com.apple.passwords,系统密码管家，账号、验证码和通行密钥集中管理
phone,communication,com.apple.mobilephone,借助手机在 Mac 上接打电话
about-this-mac,system,com.apple.AboutThisMacLauncher,查看 Mac 型号、系统版本和序列号
archive-utility,file-management|utilities,com.apple.archiveutility,压缩和解压 ZIP 等归档文件的系统工具
desk-view,video|device-management,com.apple.DeskCam,配合连续互通摄像头显示桌面视角
directory-utility,system|network-tools,com.apple.DirectoryUtility,配置目录服务、LDAP 和网络账号连接
dvd-player,video,com.apple.DVDPlayer,播放 DVD 光盘和本地 DVD 内容
expansion-slot-utility,device-management|system,com.apple.ExpansionSlotUtility,查看和配置 Mac Pro 扩展槽
feedback-assistant,system,com.apple.appleseed.FeedbackAssistant,向 Apple 提交系统反馈和诊断报告
folder-actions-setup,Automation,com.apple.FolderActionsSetup,为文件夹配置自动触发的脚本动作
ios-app-installer,utilities,com.apple.IPAInstaller,安装 iOS App 包的系统辅助工具
keychain-access,security,com.apple.keychainaccess,管理密码、证书、密钥和安全项目
ticket-viewer,security|network-tools,com.apple.Ticket-Viewer,查看 Kerberos 票据和身份验证状态
wireless-diagnostics,network-tools|system-maintenance,com.apple.wifi.diagnostics,诊断 Wi-Fi 问题并生成无线报告
photo-booth,picture-photo,com.apple.photobooth,摄像头自拍和小特效，测试摄像头也方便
podcasts,audio,com.apple.podcasts,听播客的官方入口，通勤和学习都能用
preview,picture-photo|PDF,com.apple.Preview,Mac 最被低估的工具：看图、批注 PDF、简单编辑全能
print-center,system,com.apple.printcenter,查看和管理打印队列，卡纸卡任务先看这里
quicktime-player,video|audio,com.apple.quicktimeplayerx,播放、录屏、录音都能干的老牌工具
screen-sharing,communication|network-tools,com.apple.screensharing,远程控制另一台 Mac，帮人修电脑很方便
screenshot,video|picture-photo,com.apple.screenshot.launcher,截图和录屏入口，Shift-Command-5 的背后就是它
script-editor,Automation,com.apple.scripteditor2,写和运行 AppleScript，控制老派 Mac 自动化
sf-symbols,ui-prototyping,com.apple.sfsymbols,Apple 官方符号库，做原生界面必备
shortcuts,Automation,com.apple.shortcuts,把多个动作串成一键流程，是现代版 Automator
siri,system,com.apple.siri.launcher,语音助手入口，能查信息、开 App、控制系统
stickies,Notes,com.apple.stickies,桌面便利贴，临时记事就贴在眼前
stocks,finance,com.apple.stocks,看股票和市场动态的小面板
system-information,device-management,com.apple.systemprofiler,查看硬件、软件和设备详情，查配置最准确
system-settings,system,com.apple.systempreferences,Mac 设置总入口，几乎所有系统开关都在这里
textedit,writing,com.apple.textedit,最朴素的文本编辑器，开 TXT 和 RTF 很快
time-machine,system,com.apple.backup.launcher,系统备份工具，适合提前准备文件恢复方案
tips,education,com.apple.helpviewer,苹果官方小技巧，偶尔能发现你没用过的功能
tv,video,com.apple.TV,影视内容播放和管理入口
voice-memos,audio,com.apple.voicememos,快速录音，会议灵感和采访素材先存下来
voiceover-utility,system,com.apple.voiceoverutility,管理读屏辅助功能，让 Mac 更适合视觉障碍用户
weather,utilities,com.apple.weather,天气预报入口，出门前看一眼更稳
xcode,ide,com.apple.dt.Xcode,苹果开发工具套件，适合编写 iOS 和 macOS App
garageband,audio,com.apple.garageband10,苹果入门音乐制作工具，录音和编曲都容易上手
final-cut-pro,video,com.apple.FinalCut,苹果专业视频剪辑工具，剪片、调色和导出都很快
logic-pro,audio,com.apple.logic10,苹果专业音乐制作工具，录音、编曲和混音都很强
testflight,ide,com.apple.TestFlight,Apple 应用测试工具，适合安装和体验测试版 App
